dt,main_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2024-01-01 05:00:00,2,270.37,0,3.04,68.66,0.69,0.5,0.78,1.01
2024-01-01 06:00:00,2,263.69,0,2.23,70.81,0.6,0.5,0.71,0.85
2024-01-01 07:00:00,2,257.02,0,1.74,70.81,0.53,0.5,0.67,0.78
2024-01-01 08:00:00,2,250.34,0,1.48,70.81,0.48,0.5,0.67,0.82
2024-01-01 09:00:00,2,247,0,1.33,71.53,0.45,0.5,0.67,0.85
2024-01-01 10:00:00,2,243.66,0,1.27,70.81,0.44,0.5,0.68,0.89
2024-01-01 11:00:00,2,243.66,0,1.44,69.38,0.51,0.5,0.7,0.93
2024-01-01 12:00:00,2,250.34,0,2.23,66.52,0.78,0.5,0.79,1.03
2024-01-01 13:00:00,2,257.02,0,3.26,63.66,1,0.5,0.88,1.14
2024-01-01 14:00:00,2,263.69,0.01,3.9,61.51,1.13,0.5,0.95,1.19
2024-01-01 15:00:00,2,263.69,0.1,4.07,60.8,1.25,0.5,0.99,1.2
2024-01-01 16:00:00,2,263.69,0.26,3.77,61.51,1.31,0.5,1,1.14
2024-01-01 17:00:00,2,260.35,0.42,3.56,62.23,1.46,0.5,1,1.12
2024-01-01 18:00:00,2,263.69,0.46,3.34,62.94,1.52,0.5,0.99,1.16
2024-01-01 19:00:00,2,260.35,0.37,2.91,65.09,1.33,0.5,1.1,1.09
2024-01-01 20:00:00,2,257.02,0.25,3,66.52,1.3,0.5,1.19,1.03
2024-01-01 21:00:00,2,263.69,0.15,3.64,65.8,1.43,0.5,1.17,1.01
2024-01-01 22:00:00,2,270.37,0.02,4.41,67.23,1.45,0.5,1.09,1.04
2024-01-01 23:00:00,2,273.7,0,4.63,70.1,1.48,0.5,1.04,1.06
2024-01-02 00:00:00,2,273.7,0,4.46,70.81,1.64,0.5,1.06,1.03
2024-01-02 01:00:00,2,270.37,0,4.24,68.66,1.79,0.5,1.09,0.99
2024-01-02 02:00:00,2,270.37,0,4.24,66.52,2,0.5,1.19,1.01
2024-01-02 03:00:00,2,273.7,0,4.58,65.8,2.26,0.51,1.45,1.14
2024-01-02 04:00:00,2,277.04,0,5.31,65.09,2.62,0.69,2.11,1.35
2024-01-02 05:00:00,2,280.38,0,5.74,64.37,2.86,0.86,2.78,1.46
2024-01-02 06:00:00,2,283.72,0,6.85,61.51,3.31,1.05,3.34,1.54
2024-01-02 07:00:00,2,283.72,0,9.34,60.08,4.23,1.37,3.82,1.65
2024-01-02 08:00:00,1,283.72,0,11.82,58.65,5.6,1.87,4.11,1.84
2024-01-02 09:00:00,1,277.04,0,13.37,57.94,6.91,2.37,4.28,2.06
2024-01-02 10:00:00,1,277.04,0,14.05,58.65,7.87,2.62,4.4,2.31
2024-01-02 11:00:00,1,280.38,0,15.08,57.94,8.82,2.81,4.59,2.44
2024-01-02 12:00:00,1,293.73,0,17.48,53.64,9.89,3.23,5.16,2.66
